"name","type"
"bin_1","binary"
"bin_2","binary"
"bin_3","binary"
"bin_4","binary"
"bin_5","binary"
"bin_6","binary"
"bin_7","binary"
"bin_8","binary"
"bin_9","binary"
"bin_10","binary"
"bin_11","binary"
"bin_12","binary"
"bin_13","binary"
"bin_14","binary"
"bin_15","binary"
"bin_16","binary"
"bin_17","binary"
"bin_18","binary"
"bin_19","binary"
"bin_20","binary"
"bin_21","binary"
"bin_22","binary"
"bin_23","binary"
"bin_24","binary"
"bin_25","binary"
"bin_26","binary"
"bin_27","binary"
"bin_28","binary"
"bin_29","binary"
"bin_30","binary"
"bin_31","binary"
"bin_32","binary"
"bin_33","binary"
"bin_34","binary"
"bin_35","binary"
"bin_36","binary"
"bin_37","binary"
"bin_38","binary"
"bin_39","binary"
"bin_40","binary"
"bin_41","binary"
"bin_42","binary"
"bin_43","binary"
"bin_44","binary"
"bin_45","binary"
"bin_46","binary"
"bin_47","binary"
"bin_48","binary"
"bin_49","binary"
"bin_50","binary"
"bin_51","binary"
"bin_52","binary"
"bin_53","binary"
"bin_54","binary"
"bin_55","binary"
"bin_56","binary"
"bin_57","binary"
"bin_58","binary"
"bin_59","binary"
"bin_60","binary"
"bin_61","binary"
"bin_62","binary"
"bin_63","binary"
"bin_64","binary"
"bin_65","binary"
"bin_66","binary"
"bin_67","binary"
"bin_68","binary"
"bin_69","binary"
"bin_70","binary"
"bin_71","binary"
"bin_72","binary"
"bin_73","binary"
"bin_74","binary"
"bin_75","binary"
"bin_76","binary"
"bin_77","binary"
"bin_78","binary"
"bin_79","binary"
"bin_80","binary"
"bin_81","binary"
"bin_82","binary"
"bin_83","binary"
"bin_84","binary"
"bin_85","binary"
"bin_86","binary"
"bin_87","binary"
"bin_88","binary"
"bin_89","binary"
"bin_90","binary"
"bin_91","binary"
"bin_92","binary"
"bin_93","binary"
"bin_94","binary"
"bin_95","binary"
"bin_96","binary"
"bin_97","binary"
"bin_98","binary"
"bin_99","binary"
"bin_100","binary"
"ord_1","ordinal"
"ord_2","ordinal"
"ord_3","ordinal"
"ord_4","ordinal"
"ord_5","ordinal"
"ord_6","ordinal"
"ord_7","ordinal"
"ord_8","ordinal"
"ord_9","ordinal"
"ord_10","ordinal"
"ord_11","ordinal"
"ord_12","ordinal"
"ord_13","ordinal"
"ord_14","ordinal"
"ord_15","ordinal"
"ord_16","ordinal"
"ord_17","ordinal"
"ord_18","ordinal"
"ord_19","ordinal"
"ord_20","ordinal"
"ord_21","ordinal"
"ord_22","ordinal"
"ord_23","ordinal"
"ord_24","ordinal"
"ord_25","ordinal"
"ord_26","ordinal"
"ord_27","ordinal"
"ord_28","ordinal"
"ord_29","ordinal"
"ord_30","ordinal"
"ord_31","ordinal"
"ord_32","ordinal"
"ord_33","ordinal"
"ord_34","ordinal"
"ord_35","ordinal"
"ord_36","ordinal"
"ord_37","ordinal"
"ord_38","ordinal"
"ord_39","ordinal"
"ord_40","ordinal"
"ord_41","ordinal"
"ord_42","ordinal"
"ord_43","ordinal"
"ord_44","ordinal"
"ord_45","ordinal"
"ord_46","ordinal"
"ord_47","ordinal"
"ord_48","ordinal"
"ord_49","ordinal"
"ord_50","ordinal"
"con_1","continuous"
"con_2","continuous"
"con_3","continuous"
"con_4","continuous"
"con_5","continuous"
"con_6","continuous"
"con_7","continuous"
"con_8","continuous"
"con_9","continuous"
"con_10","continuous"
"con_11","continuous"
"con_12","continuous"
"con_13","continuous"
"con_14","continuous"
"con_15","continuous"
"con_16","continuous"
"con_17","continuous"
"con_18","continuous"
"con_19","continuous"
"con_20","continuous"
"con_21","continuous"
"con_22","continuous"
"con_23","continuous"
"con_24","continuous"
"con_25","continuous"
"con_26","continuous"
"con_27","continuous"
"con_28","continuous"
"con_29","continuous"
"con_30","continuous"
"con_31","continuous"
"con_32","continuous"
"con_33","continuous"
"con_34","continuous"
"con_35","continuous"
"con_36","continuous"
"con_37","continuous"
"con_38","continuous"
"con_39","continuous"
"con_40","continuous"
"con_41","continuous"
"con_42","continuous"
"con_43","continuous"
"con_44","continuous"
"con_45","continuous"
"con_46","continuous"
"con_47","continuous"
"con_48","continuous"
"con_49","continuous"
"con_50","continuous"
